顾客编号,销售金额,销售日期
331,185.12000000000003,2015-01-062015-01-062015-01-062015-01-062015-01-062015-01-142015-01-212015-01-212015-01-242015-01-242015-01-242015-03-032015-03-032015-03-032015-04-102015-04-102015-04-142015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-282015-04-28
332,182.50000000000003,2015-01-062015-01-062015-01-062015-01-062015-01-062015-01-062015-01-102015-01-102015-01-102015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-01-31
333,145.3,2015-01-062015-01-062015-01-222015-01-222015-01-242015-01-242015-01-242015-01-242015-01-242015-01-282015-01-28
334,97.4,2015-01-062015-01-182015-01-182015-01-182015-01-182015-01-182015-01-182015-01-182015-01-182015-01-282015-01-282015-01-282015-01-28
335,33.56,2015-01-062015-01-062015-01-062015-01-06
336,127.79,2015-01-062015-01-062015-02-032015-02-032015-02-032015-02-112015-02-112015-02-112015-02-112015-02-112015-02-162015-02-162015-02-162015-02-162015-04-072015-04-072015-04-072015-04-072015-04-072015-04-07
337,501.35999999999984,2015-01-062015-01-062015-01-062015-01-132015-01-132015-01-132015-01-132015-01-132015-02-032015-02-032015-02-032015-02-032015-02-032015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-122015-02-122015-02-122015-02-122015-02-192015-02-192015-02-222015-02-222015-02-242015-02-242015-02-242015-02-242015-02-252015-02-252015-03-082015-03-082015-03-082015-03-082015-03-082015-03-302015-03-302015-03-302015-03-302015-04-012015-04-012015-04-012015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-24
338,72.7,2015-01-062015-01-062015-01-17
339,317.62,2015-01-062015-01-082015-01-082015-01-122015-01-122015-01-122015-01-122015-01-122015-01-132015-01-132015-01-132015-01-132015-01-142015-01-142015-01-192015-01-192015-01-282015-02-022015-02-022015-02-022015-02-112015-02-112015-02-152015-02-152015-02-152015-02-152015-02-152015-02-152015-02-262015-02-272015-02-282015-02-282015-03-022015-03-022015-03-032015-03-032015-03-042015-03-042015-03-042015-03-042015-03-042015-03-042015-03-052015-03-052015-03-052015-03-052015-03-052015-03-052015-03-172015-03-172015-03-182015-03-182015-03-182015-03-262015-03-262015-03-262015-03-262015-03-262015-03-302015-04-032015-04-062015-04-202015-04-202015-04-212015-04-212015-04-222015-04-222015-04-222015-04-242015-04-242015-04-272015-04-272015-04-292015-04-29
340,105.0,2015-01-06
341,120.78,2015-01-072015-01-072015-03-122015-03-152015-03-172015-03-172015-03-172015-03-172015-03-252015-03-25
342,36.620000000000005,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-02-122015-02-122015-02-122015-02-122015-02-122015-02-12
343,86.47,2015-01-072015-01-072015-01-072015-01-072015-04-202015-04-202015-04-202015-04-272015-04-272015-04-272015-04-27
344,499.1199999999993,2015-01-072015-01-072015-01-072015-01-152015-01-152015-01-152015-01-152015-01-152015-01-152015-01-152015-01-152015-01-152015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-02-272015-02-272015-02-272015-02-272015-02-272015-03-042015-03-042015-03-042015-03-042015-03-042015-03-042015-03-042015-03-172015-03-172015-03-172015-03-172015-03-172015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-03-232015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-15
345,93.14,2015-01-072015-01-072015-01-312015-01-312015-01-312015-01-312015-01-312015-01-312015-01-31
346,321.02000000000004,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-282015-01-282015-01-282015-01-282015-01-282015-01-282015-01-282015-01-282015-03-282015-03-282015-03-282015-03-282015-03-282015-03-282015-03-28
347,433.23999999999984,2015-01-072015-01-072015-01-072015-01-072015-01-282015-01-282015-01-282015-01-282015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-03-042015-03-042015-03-042015-03-042015-03-042015-03-042015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-182015-04-18
348,1089.2300000000005,2015-01-072015-01-072015-01-072015-01-072015-01-202015-01-202015-01-202015-01-202015-01-292015-01-292015-01-292015-01-292015-02-012015-02-012015-02-052015-02-052015-02-052015-02-052015-02-052015-02-072015-02-152015-03-032015-03-032015-03-032015-03-042015-03-042015-03-042015-03-042015-03-042015-03-042015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-262015-03-272015-03-272015-03-272015-03-272015-03-272015-03-272015-03-272015-03-272015-03-282015-03-282015-04-012015-04-012015-04-042015-04-042015-04-042015-04-042015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-122015-04-122015-04-142015-04-142015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-192015-04-192015-04-192015-04-192015-04-192015-04-192015-04-202015-04-212015-04-232015-04-232015-04-232015-04-272015-04-272015-04-272015-04-27
349,74.46999999999998,2015-01-072015-01-072015-01-072015-01-142015-01-142015-01-142015-01-262015-01-262015-01-262015-01-26
350,138.83,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-03-162015-03-162015-03-162015-03-162015-03-162015-04-212015-04-212015-04-212015-04-212015-04-24
351,91.5,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-232015-01-232015-01-232015-01-23
352,520.7699999999998,2015-01-072015-01-072015-01-072015-01-072015-01-112015-01-112015-01-112015-01-112015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-262015-01-262015-01-262015-01-272015-01-272015-01-272015-01-272015-01-272015-01-272015-01-272015-01-272015-01-272015-02-172015-02-172015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-03-022015-03-022015-04-012015-04-012015-04-012015-04-012015-04-012015-04-012015-04-072015-04-072015-04-072015-04-072015-04-072015-04-112015-04-112015-04-112015-04-252015-04-252015-04-252015-04-252015-04-252015-04-252015-04-252015-04-252015-04-252015-04-292015-04-292015-04-292015-04-29
353,488.4999999999998,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-122015-01-122015-01-122015-01-242015-01-242015-01-252015-01-252015-02-022015-02-022015-02-022015-02-072015-02-092015-02-092015-02-162015-02-172015-02-172015-02-172015-02-172015-02-172015-03-022015-03-022015-03-022015-03-042015-03-042015-03-042015-03-142015-03-302015-03-302015-03-302015-03-302015-03-302015-04-132015-04-132015-04-19
354,504.5199999999998,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-082015-01-082015-01-082015-01-082015-01-202015-01-202015-01-202015-01-202015-01-202015-02-132015-02-132015-02-132015-02-132015-02-132015-02-132015-02-132015-02-132015-02-132015-02-132015-02-132015-02-132015-02-132015-03-042015-03-042015-03-042015-03-042015-04-082015-04-082015-04-082015-04-082015-04-082015-04-212015-04-21
355,410.3399999999999,2015-01-072015-01-072015-01-072015-01-072015-01-102015-01-102015-01-102015-01-102015-01-102015-01-102015-01-102015-01-102015-01-252015-01-252015-01-252015-01-252015-01-252015-01-252015-01-252015-01-252015-01-252015-01-252015-01-252015-02-032015-02-032015-02-032015-02-032015-02-032015-02-032015-02-032015-02-032015-02-032015-02-032015-02-032015-02-032015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-09
356,53.62,2015-01-072015-01-072015-01-072015-01-072015-01-07
357,209.78999999999996,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-112015-01-112015-01-112015-01-112015-01-112015-01-112015-01-112015-03-212015-03-212015-03-212015-03-212015-03-212015-03-212015-03-21
358,45.81,2015-01-072015-01-072015-01-072015-01-072015-01-07
359,30.22,2015-01-072015-01-072015-01-07
360,25.43,2015-01-072015-01-072015-01-072015-01-072015-01-07
361,149.70000000000002,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-02-032015-02-032015-02-032015-02-03
362,164.60000000000002,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-07
363,27.7,2015-01-072015-01-072015-01-072015-01-07
364,17.33,2015-01-072015-01-07
365,482.0599999999999,2015-01-072015-01-072015-01-072015-01-132015-01-132015-01-132015-01-132015-01-132015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-02-132015-02-132015-02-132015-02-132015-02-132015-02-132015-03-022015-03-022015-03-022015-03-022015-03-022015-03-022015-03-022015-03-022015-03-022015-03-022015-03-022015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-062015-04-06
366,3.25,2015-01-072015-01-072015-01-07
367,149.34999999999997,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-082015-01-082015-01-082015-01-082015-01-082015-01-082015-01-082015-04-282015-04-282015-04-282015-04-282015-04-28
368,222.92000000000007,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-082015-01-082015-01-082015-01-082015-01-142015-02-112015-02-112015-03-162015-03-162015-03-162015-03-162015-03-162015-03-162015-03-162015-03-162015-03-162015-03-162015-04-152015-04-152015-04-152015-04-152015-04-15
369,132.29,2015-01-072015-01-072015-01-072015-02-012015-02-012015-02-012015-02-012015-02-012015-02-202015-02-202015-02-202015-02-20
370,51.07,2015-01-072015-01-072015-01-072015-01-07
371,341.8100000000002,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-122015-01-122015-01-122015-01-122015-01-122015-01-122015-01-122015-01-122015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-03-302015-03-302015-03-302015-03-302015-03-302015-03-302015-03-302015-03-302015-04-172015-04-172015-04-172015-04-172015-04-172015-04-172015-04-172015-04-172015-04-232015-04-232015-04-232015-04-232015-04-232015-04-232015-04-232015-04-232015-04-272015-04-272015-04-272015-04-272015-04-272015-04-272015-04-302015-04-302015-04-302015-04-302015-04-302015-04-30
372,1505.8800000000026,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-082015-01-082015-01-082015-01-082015-01-132015-01-132015-01-132015-01-132015-01-132015-01-132015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-172015-01-172015-01-172015-01-172015-01-172015-01-172015-01-172015-01-272015-01-272015-01-272015-01-272015-02-062015-02-062015-02-062015-02-062015-02-062015-02-062015-02-062015-02-062015-02-062015-02-062015-02-062015-02-062015-02-062015-02-072015-02-072015-02-072015-02-072015-02-092015-02-112015-02-112015-02-122015-02-122015-02-122015-02-122015-02-122015-02-132015-02-132015-02-132015-02-132015-02-232015-02-232015-02-232015-02-232015-02-232015-03-062015-03-062015-03-062015-03-062015-03-092015-03-092015-03-092015-03-092015-03-092015-03-112015-03-112015-03-112015-03-112015-03-112015-03-122015-03-122015-03-122015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-192015-03-192015-03-192015-03-232015-03-232015-03-252015-03-252015-03-252015-03-252015-03-252015-03-282015-03-282015-03-282015-03-282015-03-282015-03-282015-03-282015-03-302015-04-042015-04-042015-04-042015-04-042015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-122015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-212015-04-212015-04-222015-04-222015-04-222015-04-222015-04-222015-04-222015-04-242015-04-272015-04-272015-04-272015-04-272015-04-272015-04-272015-04-272015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-292015-04-292015-04-292015-04-292015-04-292015-04-29
373,253.6300000000001,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-132015-01-132015-01-292015-01-292015-01-292015-02-242015-02-242015-03-162015-03-162015-03-192015-03-192015-03-292015-03-292015-03-292015-03-292015-03-292015-03-292015-04-18
374,333.53000000000003,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-03-042015-03-042015-03-042015-03-042015-03-042015-03-042015-03-042015-03-042015-03-042015-03-04
375,266.2,2015-01-072015-01-072015-01-122015-01-122015-01-272015-01-272015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-04-272015-04-272015-04-272015-04-282015-04-28
376,57.120000000000005,2015-01-072015-01-072015-01-072015-01-072015-01-072015-03-102015-03-102015-03-102015-03-10
377,828.73,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-192015-01-192015-01-192015-01-192015-01-192015-01-192015-01-192015-01-282015-01-282015-01-282015-01-282015-01-292015-01-292015-02-052015-02-052015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-10
378,354.4,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-142015-01-262015-01-262015-01-262015-01-262015-01-262015-02-152015-02-152015-02-152015-02-152015-02-152015-04-112015-04-112015-04-112015-04-11
379,31.27,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-07
380,370.57,2015-01-072015-01-072015-01-072015-01-072015-01-072015-02-032015-02-032015-02-032015-02-032015-02-032015-02-032015-02-112015-02-112015-02-112015-02-112015-02-112015-02-112015-02-112015-02-112015-02-112015-02-112015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-08
381,412.68,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-142015-01-142015-01-142015-01-142015-01-142015-01-142015-01-172015-02-062015-02-062015-02-062015-02-062015-02-062015-02-062015-02-062015-02-152015-02-152015-02-152015-02-152015-02-152015-02-152015-02-152015-02-152015-02-152015-03-302015-03-302015-03-302015-03-302015-03-302015-03-302015-03-302015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-192015-04-192015-04-192015-04-192015-04-192015-04-192015-04-192015-04-292015-04-292015-04-292015-04-292015-04-292015-04-292015-04-302015-04-302015-04-30
382,387.19,2015-01-072015-01-072015-01-072015-01-152015-01-152015-01-152015-01-152015-01-152015-01-152015-01-152015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-02-162015-04-202015-04-202015-04-202015-04-202015-04-202015-04-20
383,302.1,2015-01-072015-01-072015-01-072015-01-072015-01-092015-01-092015-01-092015-01-092015-01-122015-01-122015-01-122015-01-122015-01-122015-01-122015-02-062015-02-062015-02-092015-02-092015-02-112015-02-132015-02-132015-02-132015-02-242015-02-242015-02-242015-02-242015-02-242015-03-202015-03-212015-03-212015-03-212015-03-212015-03-212015-04-042015-04-042015-04-07
384,32.5,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-07
385,263.4800000000001,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-202015-01-252015-02-072015-02-072015-02-242015-02-242015-02-242015-02-242015-03-282015-03-282015-03-282015-03-282015-04-012015-04-012015-04-042015-04-042015-04-042015-04-042015-04-042015-04-042015-04-042015-04-082015-04-082015-04-082015-04-132015-04-132015-04-142015-04-142015-04-142015-04-142015-04-14
386,134.72,2015-01-072015-01-072015-01-072015-01-102015-01-102015-01-102015-01-102015-01-172015-01-212015-02-102015-02-10
387,222.72000000000003,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-01-212015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-062015-03-06
388,270.18,2015-01-072015-01-072015-01-072015-01-072015-01-102015-01-102015-01-262015-01-262015-01-262015-02-082015-02-082015-02-082015-02-082015-02-082015-02-082015-02-082015-04-192015-04-192015-04-192015-04-192015-04-192015-04-192015-04-19
389,349.89000000000004,2015-01-072015-01-142015-01-142015-01-282015-01-282015-01-282015-02-172015-02-172015-02-182015-02-182015-02-182015-02-182015-02-182015-02-182015-04-032015-04-032015-04-192015-04-262015-04-262015-04-26
390,57.92,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-02-182015-02-182015-02-18
391,56.06999999999999,2015-01-072015-01-072015-01-072015-01-07
392,51.5,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-07
393,53.13,2015-01-072015-01-072015-01-07
394,140.2,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-272015-01-272015-01-272015-01-272015-01-272015-01-272015-01-272015-01-272015-01-27
395,1820.2000000000028,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-192015-01-192015-01-192015-01-192015-01-192015-01-192015-01-192015-01-192015-01-192015-01-192015-01-192015-01-192015-01-262015-01-262015-01-262015-01-262015-01-262015-01-262015-01-262015-02-192015-02-192015-02-192015-02-192015-02-192015-02-192015-02-192015-02-192015-02-192015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-242015-02-262015-02-262015-02-262015-02-262015-02-262015-02-262015-02-262015-02-262015-02-262015-02-262015-02-262015-02-262015-02-262015-03-032015-03-052015-03-052015-03-052015-03-052015-03-052015-03-052015-03-052015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-072015-03-092015-03-092015-03-092015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-202015-03-202015-03-202015-03-202015-03-202015-03-202015-03-202015-03-202015-03-202015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-032015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-142015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-302015-04-302015-04-302015-04-302015-04-30
396,499.95999999999987,2015-01-072015-01-092015-01-092015-01-092015-01-102015-01-102015-01-102015-01-102015-01-122015-01-122015-01-122015-01-122015-01-122015-01-122015-01-152015-01-152015-01-152015-01-172015-01-172015-01-172015-01-172015-01-172015-01-172015-01-192015-01-262015-01-262015-01-262015-01-282015-01-282015-01-282015-01-282015-01-282015-02-022015-02-022015-02-022015-02-022015-02-022015-02-062015-02-062015-02-062015-02-132015-02-132015-02-132015-03-042015-03-042015-03-042015-03-042015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-142015-03-202015-03-202015-03-202015-03-202015-03-202015-03-202015-03-202015-04-072015-04-072015-04-082015-04-112015-04-112015-04-112015-04-112015-04-112015-04-112015-04-11
397,373.88,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-132015-01-132015-01-132015-01-162015-01-162015-01-252015-01-252015-01-252015-01-252015-01-252015-01-252015-02-162015-02-162015-02-162015-02-162015-02-202015-02-232015-02-232015-02-272015-02-272015-02-272015-02-272015-03-232015-03-232015-03-232015-03-232015-03-232015-03-262015-03-262015-03-262015-03-262015-03-292015-03-292015-03-292015-03-292015-04-022015-04-022015-04-022015-04-022015-04-102015-04-102015-04-102015-04-102015-04-142015-04-142015-04-272015-04-272015-04-272015-04-272015-04-27
398,591.8199999999997,2015-01-072015-01-072015-01-072015-01-072015-01-142015-01-142015-01-142015-01-162015-01-162015-01-162015-01-162015-01-162015-01-162015-02-102015-02-102015-02-102015-02-132015-02-132015-02-132015-03-022015-03-022015-03-022015-03-112015-03-112015-03-112015-03-112015-03-112015-03-112015-03-132015-03-132015-03-132015-03-172015-03-172015-03-172015-03-172015-03-172015-03-192015-03-192015-03-192015-03-192015-03-262015-03-282015-03-282015-04-042015-04-042015-04-042015-04-042015-04-042015-04-042015-04-042015-04-042015-04-042015-04-042015-04-062015-04-062015-04-062015-04-102015-04-102015-04-102015-04-102015-04-122015-04-122015-04-122015-04-142015-04-142015-04-152015-04-152015-04-152015-04-152015-04-152015-04-172015-04-172015-04-172015-04-202015-04-202015-04-222015-04-222015-04-222015-04-222015-04-262015-04-262015-04-262015-04-262015-04-262015-04-262015-04-262015-04-262015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-282015-04-28
399,185.65,2015-01-072015-01-072015-01-072015-01-07
400,851.9500000000003,2015-01-072015-01-072015-01-072015-01-102015-01-102015-01-102015-01-102015-01-122015-01-122015-01-122015-01-122015-01-142015-01-142015-01-142015-01-142015-01-142015-01-152015-01-152015-01-152015-01-232015-01-232015-01-232015-01-232015-01-232015-01-232015-01-272015-01-272015-02-032015-02-032015-02-032015-02-032015-02-032015-02-032015-02-032015-02-072015-02-072015-02-072015-02-072015-02-092015-02-092015-02-092015-02-092015-02-102015-02-102015-02-102015-02-102015-02-152015-02-152015-02-152015-02-152015-02-152015-02-152015-02-152015-02-262015-02-262015-02-262015-02-262015-02-262015-03-122015-03-122015-03-122015-03-122015-03-122015-03-122015-03-142015-03-142015-03-142015-03-142015-03-142015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-152015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-182015-03-202015-03-202015-03-252015-03-252015-03-252015-03-252015-03-252015-03-252015-03-292015-03-292015-03-292015-03-292015-03-292015-04-022015-04-022015-04-022015-04-022015-04-022015-04-022015-04-022015-04-172015-04-172015-04-172015-04-172015-04-172015-04-172015-04-202015-04-202015-04-202015-04-202015-04-232015-04-232015-04-242015-04-242015-04-242015-04-242015-04-242015-04-242015-04-262015-04-262015-04-262015-04-262015-04-302015-04-302015-04-302015-04-302015-04-30
401,49.42,2015-01-072015-01-072015-01-072015-01-07
402,384.11999999999995,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-212015-02-132015-02-132015-02-132015-02-132015-02-132015-02-132015-02-132015-03-042015-03-042015-03-162015-03-162015-03-162015-03-272015-03-272015-03-272015-03-272015-03-272015-03-272015-03-272015-03-272015-03-272015-03-272015-04-292015-04-292015-04-292015-04-292015-04-292015-04-292015-04-292015-04-302015-04-302015-04-30
403,346.33,2015-01-072015-01-072015-01-072015-01-182015-01-182015-01-182015-01-182015-01-182015-03-162015-03-162015-03-162015-03-162015-03-162015-03-202015-03-202015-03-20
404,584.6099999999997,2015-01-072015-01-072015-01-072015-01-212015-01-212015-01-212015-01-212015-01-212015-02-012015-02-012015-02-012015-02-012015-02-012015-02-012015-02-072015-02-072015-02-072015-02-072015-02-072015-02-072015-02-072015-02-092015-02-092015-02-092015-02-092015-02-122015-02-122015-02-122015-02-122015-02-122015-03-292015-03-292015-03-292015-03-292015-04-012015-04-012015-04-012015-04-012015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-082015-04-222015-04-222015-04-222015-04-222015-04-222015-04-222015-04-222015-04-22
405,280.11,2015-01-072015-01-072015-01-122015-01-152015-01-152015-01-152015-01-212015-01-212015-01-212015-01-212015-01-232015-01-232015-01-232015-01-292015-01-292015-01-292015-03-042015-03-042015-03-042015-03-042015-03-232015-03-232015-03-232015-03-252015-03-252015-03-252015-03-252015-03-302015-03-302015-03-302015-03-302015-04-072015-04-072015-04-072015-04-072015-04-102015-04-112015-04-112015-04-112015-04-112015-04-152015-04-152015-04-222015-04-22
406,37.89,2015-01-072015-01-072015-01-07
407,38.7,2015-01-072015-01-072015-01-072015-01-072015-01-072015-01-072015-01-07
408,297.5199999999999,2015-01-072015-01-072015-01-072015-01-072015-01-282015-01-282015-01-282015-01-282015-01-282015-03-022015-03-022015-03-022015-03-022015-03-022015-03-192015-03-192015-03-192015-03-192015-03-192015-03-192015-03-192015-03-192015-04-012015-04-012015-04-012015-04-012015-04-012015-04-012015-04-012015-04-112015-04-112015-04-112015-04-112015-04-112015-04-152015-04-152015-04-152015-04-152015-04-152015-04-152015-04-202015-04-202015-04-202015-04-20
409,156.69,2015-01-072015-01-072015-01-072015-01-072015-02-092015-02-092015-02-092015-02-092015-02-092015-02-092015-02-212015-02-212015-02-212015-04-012015-04-132015-04-132015-04-132015-04-132015-04-172015-04-172015-04-172015-04-172015-04-172015-04-17
410,21.299999999999997,2015-01-072015-01-07
411,256.48,2015-01-072015-01-172015-01-172015-01-172015-01-292015-01-302015-01-302015-01-302015-01-302015-01-302015-02-032015-02-032015-02-032015-02-192015-02-192015-02-192015-02-272015-02-282015-02-282015-02-282015-03-012015-03-082015-03-102015-03-112015-03-112015-03-252015-03-252015-04-022015-04-022015-04-022015-04-022015-04-022015-04-112015-04-152015-04-202015-04-222015-04-222015-04-23
412,400.69000000000005,2015-01-072015-01-072015-01-082015-01-082015-01-232015-01-232015-01-232015-01-232015-01-232015-01-292015-01-292015-01-292015-01-292015-01-292015-02-122015-02-122015-02-122015-02-122015-02-132015-02-132015-02-242015-02-242015-02-242015-02-242015-03-162015-03-162015-03-162015-03-172015-03-172015-03-172015-03-172015-03-172015-04-152015-04-15
413,42.0,2015-01-07
414,20.8,2015-01-072015-01-07
415,414.5399999999999,2015-01-082015-01-082015-01-082015-01-082015-01-082015-01-132015-01-132015-01-132015-01-132015-01-132015-01-192015-01-192015-01-192015-01-192015-01-202015-01-202015-01-202015-01-282015-01-282015-02-272015-02-272015-02-272015-02-272015-02-282015-02-282015-03-012015-03-012015-03-042015-03-042015-03-042015-03-042015-03-052015-03-052015-03-052015-03-272015-03-272015-03-272015-03-282015-04-112015-04-112015-04-11
416,200.67,2015-01-082015-01-082015-01-082015-01-082015-01-08
417,171.23,2015-01-082015-01-082015-01-082015-01-192015-01-192015-01-192015-01-192015-01-192015-01-192015-01-192015-01-192015-01-19
418,17.69,2015-01-082015-01-082015-01-082015-04-302015-04-30
419,67.0,2015-01-082015-01-082015-01-082015-01-082015-01-082015-01-082015-03-132015-03-132015-03-132015-03-132015-03-302015-03-302015-03-30
420,22.790000000000003,2015-01-082015-01-082015-01-082015-01-08
