顾客编号,大类编码,中类编码,小类编码,销售日期,商品编码,规格型号,商品类型,销售数量,销售金额,商品单价,是否促销
2,12,1201,120104,2015-01-01,DW-1201040036,散称,生鲜,0.636,1.14,1.8,否
20,20,2007,200701,2015-01-01,DW-2007010021,散称,一般商品,0.132,8.28,89.8,是
2,12,1203,120303,2015-01-01,DW-1203030177,散称,生鲜,1.922,6.11,3.18,否
21,12,1201,120102,2015-01-01,DW-1201020025,散称,生鲜,0.6559999999999999,1.68,2.56,否
16,30,3008,300802,2015-01-01,DW-3008020423,400ml,一般商品,1.0,37.9,37.9,否
22,14,1403,140301,2015-01-01,DW-1403010085,散称,生鲜,0.384,6.14,16.0,否
18,12,1201,120102,2015-01-01,DW-1201020029,散称,生鲜,0.988,3.91,3.96,否
19,30,3010,301004,2015-01-01,DW-3010040031,25g,一般商品,1.0,1.5,1.5,否
23,20,2002,200202,2015-01-01,DW-2002020017,119g*5,一般商品,1.0,10.9,14.7,是
24,13,1308,130803,2015-01-01,DW-1308030035,个,生鲜,2.0,2.0,1.0,否
5,30,3018,301802,2015-01-01,DW-3018020117,4片,一般商品,1.0,4.7,4.7,否
25,20,2006,200603,2015-01-01,DW-2006030007,5Kg,一般商品,1.0,33.9,33.9,否
25,20,2006,200608,2015-01-01,DW-2006080036,散称,一般商品,1.006,4.61,4.58,否
26,31,3117,311704,2015-01-01,DW-3117040018,1片装,一般商品,1.0,9.9,9.9,否
11,13,1302,130201,2015-01-01,DW-1302010084,散称,联营商品,0.258,20.64,80.0,否
27,31,3119,311907,2015-01-01,DW-3119070145,QM-3037,一般商品,1.0,15.0,15.0,否
5,30,3018,301802,2015-01-01,DW-3018020125,4片,一般商品,1.0,7.5,8.7,是
28,30,3018,301802,2015-01-01,DW-3018020127,8片,一般商品,1.0,9.9,9.9,否
29,22,2209,220901,2015-01-01,DW-2209010044,20g,一般商品,1.0,8.5,8.5,否
24,20,2011,201111,2015-01-01,DW-2011110020,350ml,一般商品,1.0,1.1,1.1,否
30,22,2209,220906,2015-01-01,DW-2209060042,243g,一般商品,1.0,28.3,39.8,是
31,10,1001,100104,2015-01-01,DW-1001040132,散称,生鲜,0.35600000000000004,12.46,35.0,否
20,10,1001,100101,2015-01-01,DW-1001010194,散称,生鲜,0.342,10.19,29.8,否
32,30,3007,300701,2015-01-01,DW-3007010253,115g,一般商品,1.0,3.9,4.7,是
32,30,3008,300801,2015-01-01,DW-3008010512,500ml,一般商品,1.0,46.9,46.9,否
33,15,1518,151805,2015-01-01,DW-1518050001,240ml,一般商品,16.0,43.2,2.7,否
33,21,2105,210503,2015-01-01,DW-2105030026,560g,一般商品,1.0,22.7,22.7,否
34,33,3319,331901,2015-01-01,DW-3319010115, ,一般商品,1.0,2.3,2.3,否
35,12,1201,120104,2015-01-01,DW-1201040010,散称,生鲜,0.612,1.58,2.58,否
35,22,2201,220102,2015-01-01,DW-2201020008,80g,一般商品,1.0,4.5,4.5,否
31,12,1201,120106,2015-01-01,DW-1201060006, ,生鲜,1.0,5.8,5.8,否
20,12,1203,120303,2015-01-01,DW-1203030161,散称,生鲜,0.92,14.68,15.96,否
36,20,2006,200603,2015-01-01,DW-2006030214,5kg,一般商品,1.0,21.9,21.9,否
22,20,2007,200705,2015-01-01,DW-2007050037,散称,一般商品,0.292,5.78,19.8,否
18,12,1201,120102,2015-01-01,DW-1201020025,散称,生鲜,1.146,2.93,2.56,否
37,12,1203,120302,2015-01-01,DW-1203020172,散称,生鲜,0.858,10.28,11.98,否
38,12,1203,120309,2015-01-01,DW-1203090216,散称,生鲜,0.266,4.23,15.9,否
12,20,2007,200706,2015-01-01,DW-2007060065,散称,一般商品,0.366,7.23,37.8,是
39,12,1201,120104,2015-01-01,DW-1201040036,散称,生鲜,0.7859999999999999,1.41,1.8,否
40,15,1505,150506,2015-01-01,DW-1505060016,100g*8,一般商品,1.0,7.9,12.8,是
19,22,2207,220701,2015-01-01,DW-2207010002,120g,一般商品,1.0,4.0,4.0,否
41,12,1201,120101,2015-01-01,DW-1201010021,散称,生鲜,0.7959999999999999,5.22,6.56,否
42,15,1505,150502,2015-01-01,DW-1505020020,100g*8,一般商品,1.0,11.9,11.9,否
12,13,1308,130801,2015-01-01,DW-1308010191,散称,生鲜,0.53,3.18,6.0,否
31,30,3016,301606,2015-01-01,DW-3016060149,10包,一般商品,1.0,3.0,3.0,否
43,30,3011,301106,2015-01-01,DW-3011060119,50g,一般商品,1.0,10.9,10.9,否
24,12,1202,120201,2015-01-01,DW-1202018073,散称,生鲜,0.447,1.32,2.96,否
21,12,1201,120102,2015-01-01,DW-1201020362,散称,生鲜,0.22,0.88,3.98,否
37,12,1203,120307,2015-01-01,DW-1203070022,散称,生鲜,0.6409999999999999,3.82,5.96,否
39,20,2009,200902,2015-01-01,DW-2009020015,400g,一般商品,1.0,2.8,2.8,否
44,20,2001,200105,2015-01-01,DW-2001050024,25g,一般商品,1.0,0.5,0.5,否
31,12,1202,120201,2015-01-01,DW-1202018267,块,生鲜,1.0,1.5,1.5,否
31,15,1515,151503,2015-01-01,DW-1515030007,散称,一般商品,0.544,14.0,32.6,是
14,22,2205,220502,2015-01-01,DW-2205020048,散称,一般商品,0.27,3.19,11.8,否
45,12,1201,120104,2015-01-01,DW-1201040051,散称,生鲜,0.20800000000000002,1.66,7.96,否
7,12,1201,120101,2015-01-01,DW-1201010001,散称,生鲜,0.12,0.67,5.56,否
22,22,2204,220401,2015-01-01,DW-2204010036,散装,一般商品,0.9279999999999999,31.37,33.8,否
21,11,1101,110107,2015-01-01,DW-1101070015,散称,生鲜,0.5,15.0,30.0,否
46,12,1203,120301,2015-01-01,DW-1203010290,散称,生鲜,2.0180000000000002,4.04,2.0,否
38,12,1203,120301,2015-01-01,DW-1203010227,散称,生鲜,0.366,2.92,7.98,否
2,12,1203,120309,2015-01-01,DW-1203090216,散称,生鲜,0.278,4.42,15.9,否
11,13,1302,130201,2015-01-01,DW-1302010083,散称,联营商品,0.17800000000000002,7.12,40.0,否
34,12,1201,120101,2015-01-01,DW-1201010025,散称,生鲜,0.706,2.8,3.96,否
34,33,3321,332102,2015-01-01,DW-3321020068,7250,一般商品,1.0,3.3,3.3,否
47,12,1203,120301,2015-01-01,DW-1203010292,散称,生鲜,0.28600000000000003,2.86,10.0,否
17,12,1201,120102,2015-01-01,DW-1201020017,散称,生鲜,0.622,1.7,2.56,否
17,15,1518,151806,2015-01-01,DW-1518060019,230ml,一般商品,3.0,8.4,2.8,否
48,12,1201,120105,2015-01-01,DW-1201050012,散称,生鲜,0.064,0.23,3.56,否
44,20,2001,200105,2015-01-01,DW-2001050005,26g,一般商品,1.0,0.5,0.5,否
31,12,1205,120501,2015-01-01,DW-1205010005,散称,生鲜,0.07200000000000001,0.14,2.0,否
4,12,1201,120104,2015-01-01,DW-1201040026,散称,生鲜,0.6859999999999999,1.36,1.98,否
7,20,2001,200102,2015-01-01,DW-2001020021,82.6g,一般商品,1.0,3.0,3.0,否
35,20,2013,201301,2015-01-01,DW-2013010014,340g,一般商品,1.0,6.7,6.7,否
10,15,1505,150503,2015-01-01,DW-1505030022,260g,一般商品,1.0,5.9,8.9,是
26,21,2105,210501,2015-01-01,DW-2105010143,700g,一般商品,1.0,27.7,27.7,否
31,30,3006,300604,2015-01-01,DW-3006040014,226g,一般商品,1.0,4.9,4.9,否
31,30,3016,301608,2015-01-01,DW-3016080114,200抽*3,一般商品,1.0,6.9,9.7,是
49,12,1201,120104,2015-01-01,DW-1201040027,散称,生鲜,0.902,8.98,9.96,否
8,15,1518,151801,2015-01-01,DW-1518010020,250ml*12,一般商品,1.0,49.0,65.0,是
15,31,3118,311809,2015-01-01,DW-3118090006,MOJ-A,一般商品,1.0,70.0,70.0,否
50,22,2207,220703,2015-01-01,DW-2207030051,105g,一般商品,1.0,10.9,10.9,否
1,12,1201,120103,2015-01-01,DW-1201030002,散称,生鲜,0.456,1.27,2.78,否
51,30,3018,301802,2015-01-01,DW-3018020108,8片,一般商品,1.0,8.9,8.9,否
51,30,3018,301804,2015-01-01,DW-3018040094,12+2,一般商品,1.0,11.9,11.9,否
45,12,1201,120105,2015-01-01,DW-1201050255,散称,生鲜,0.24,2.3,9.6,否
7,20,2002,200201,2015-01-01,DW-2002010013,125g*5,一般商品,1.0,17.3,17.3,否
22,30,3016,301603,2015-01-01,DW-3016030118,200抽,一般商品,1.0,18.9,24.9,是
9,22,2201,220111,2015-01-01,DW-2201110105,45g,一般商品,1.0,6.9,6.9,否
46,12,1203,120302,2015-01-01,DW-1203020212,散称,生鲜,1.776,8.84,4.98,否
10,22,2202,220201,2015-01-01,DW-2202010025,198g,一般商品,1.0,9.7,9.7,否
10,30,3006,300602,2015-01-01,DW-3006020294,2kg,一般商品,1.0,24.9,24.9,否
11,12,1201,120104,2015-01-01,DW-1201040042,散称,生鲜,0.496,3.87,7.8,否
24,20,2013,201306,2015-01-01,DW-2013060013,400g,一般商品,1.0,3.7,3.7,否
41,22,2208,220802,2015-01-01,DW-2208020030,56g,一般商品,1.0,10.9,10.9,否
43,30,3013,301301,2015-01-01,DW-3013010153,120g,一般商品,1.0,10.9,10.9,否
37,23,2307,230705,2015-01-01,DW-2307050018,100ml*5,一般商品,1.0,4.0,5.5,是
39,12,1203,120307,2015-01-01,DW-1203070022,散称,生鲜,0.871,5.19,5.96,否
42,12,1201,120104,2015-01-01,DW-1201040010,散称,生鲜,0.294,0.76,2.58,否
42,15,1505,150505,2015-01-01,DW-1505050003,100g*8,一般商品,1.0,9.9,9.9,否
8,15,1518,151803,2015-01-01,DW-1518030029,250ml*12,一般商品,1.0,62.0,62.0,否
29,30,3018,301802,2015-01-01,DW-3018020114,10片,一般商品,1.0,4.5,4.5,否
33,21,2101,210111,2015-01-01,DW-2101110009,400g,一般商品,1.0,36.5,36.5,否
50,32,3227,322701,2015-01-01,DW-3227010114,7号,一般商品,4.0,18.0,4.5,否
38,12,1203,120302,2015-01-01,DW-1203020164,散称,生鲜,0.698,12.42,17.8,否
38,12,1203,120302,2015-01-01,DW-1203020166,散称,生鲜,0.752,10.51,17.8,否
34,20,2005,200505,2015-01-01,DW-2005050018,800g,一般商品,1.0,3.9,5.9,是
45,23,2307,230703,2015-01-01,DW-2307030002,245ml,一般商品,1.0,4.9,4.9,否
9,22,2206,220601,2015-01-01,DW-2206010154,68g,一般商品,1.0,12.5,12.5,否
46,12,1203,120309,2015-01-01,DW-1203090210,散称,生鲜,1.3530000000000002,23.81,17.6,否
10,15,1521,152101,2015-01-01,DW-1521010001,散称,一般商品,2.214,43.84,19.8,否
10,30,3018,301801,2015-01-01,DW-3018010157,10片,一般商品,1.0,3.9,3.9,否
52,22,2204,220403,2015-01-01,DW-2204030071,75g,一般商品,1.0,5.5,5.5,否
11,12,1201,120102,2015-01-01,DW-1201020043,散称,生鲜,0.804,1.45,1.8,否
24,20,2011,201102,2015-01-01,DW-2011020020,380mL,一般商品,1.0,1.3,1.3,否
31,12,1201,120106,2015-01-01,DW-1201060002,散称,生鲜,0.22399999999999998,4.03,18.0,否
37,22,2206,220699,2015-01-01,DW-2206990120,100g,一般商品,1.0,2.7,2.7,否
53,12,1203,120303,2015-01-01,DW-1203030161,散称,生鲜,1.6,25.54,15.96,否
33,21,2105,210501,2015-01-01,DW-2105010032,700g,一般商品,1.0,30.7,30.7,否
33,22,2201,220101,2015-01-01,DW-2201010018,125g,一般商品,1.0,5.7,5.7,否
33,22,2201,220102,2015-01-01,DW-2201020127,125g,一般商品,1.0,5.7,5.7,否
2,12,1201,120105,2015-01-01,DW-1201050004,散称,生鲜,0.299,1.79,5.98,否
51,22,2203,220302,2015-01-01,DW-2203020275,60g,一般商品,1.0,3.9,3.9,否
34,20,2008,200808,2015-01-01,DW-2008080003,32g*2,一般商品,1.0,4.9,4.9,否
54,20,2007,200706,2015-01-01,DW-2007060065,散称,一般商品,0.306,6.05,37.8,是
55,30,3016,301603,2015-01-01,DW-3016030050,40±2张,一般商品,1.0,1.7,1.7,否
22,22,2205,220513,2015-01-01,DW-2205130089,散装,一般商品,0.344,4.06,13.8,是
56,22,2201,220103,2015-01-01,DW-2201030016,200g,一般商品,1.0,8.7,8.7,否
9,15,1505,150503,2015-01-01,DW-1505030009,450g,一般商品,1.0,11.8,11.8,否
9,22,2206,220601,2015-01-01,DW-2206010023,60g,一般商品,1.0,10.9,10.9,否
41,12,1201,120106,2015-01-01,DW-1201060010,散称,生鲜,0.444,4.0,9.0,否
57,15,1505,150503,2015-01-01,DW-1505030008,450g,一般商品,1.0,11.8,11.8,否
57,22,2201,220102,2015-01-01,DW-2201020167,104g,一般商品,1.0,6.9,6.9,否
5,30,3018,301802,2015-01-01,DW-3018020126,4+1片,一般商品,1.0,7.9,7.9,否
32,20,2011,201104,2015-01-01,DW-2011040017,500ml,一般商品,1.0,9.9,12.9,是
44,12,1201,120102,2015-01-01,DW-1201020013,散称,生鲜,0.452,1.81,4.0,否
31,20,2013,201303,2015-01-01,DW-2013030024,160g,一般商品,1.0,3.9,3.9,否
21,12,1201,120101,2015-01-01,DW-1201010029,散称,生鲜,0.32799999999999996,0.84,2.56,否
21,12,1201,120102,2015-01-01,DW-1201020029,散称,生鲜,0.614,2.43,3.96,否
58,12,1201,120109,2015-01-01,DW-1201090311, ,生鲜,4.0,8.0,2.0,否
0,12,1201,120104,2015-01-01,DW-1201040026,散称,生鲜,0.83,1.64,1.98,否
15,12,1201,120104,2015-01-01,DW-1201040010,散称,生鲜,0.457,1.18,2.58,否
50,32,3227,322701,2015-01-01,DW-3227010116,5号,一般商品,1.0,13.0,13.0,否
2,12,1203,120306,2015-01-01,DW-1203060094,散称,生鲜,0.462,4.6,9.96,否
42,15,1521,152101,2015-01-01,DW-1521010005,散称,一般商品,0.75,5.09,6.78,否
51,22,2209,220902,2015-01-01,DW-2209020003,80g,一般商品,1.0,5.3,5.3,否
51,30,3018,301802,2015-01-01,DW-3018020104,10片,一般商品,1.0,7.9,9.9,是
6,12,1201,120104,2015-01-01,DW-1201040010,散称,生鲜,0.47,1.21,2.58,否
1,20,2007,200709,2015-01-01,DW-2007090052,275g,一般商品,1.0,5.7,5.7,否
57,22,2201,220102,2015-01-01,DW-2201020165,104g,一般商品,1.0,6.9,6.9,否
8,12,1203,120303,2015-01-01,DW-1203030177,散称,生鲜,1.3519999999999999,4.3,3.18,否
57,30,3016,301603,2015-01-01,DW-3016030118,200抽,一般商品,1.0,18.9,24.9,是
8,13,1308,130801,2015-01-01,DW-1308010192,个,生鲜,4.0,2.0,0.5,否
0,13,1308,130801,2015-01-01,DW-1308010192,个,生鲜,4.0,2.0,0.5,否
28,23,2306,230604,2015-01-01,DW-2306040025,500ml,一般商品,1.0,4.0,4.0,否
0,12,1201,120104,2015-01-01,DW-1201040031,散称,生鲜,1.078,3.41,3.16,否
3,12,1203,120302,2015-01-01,DW-1203020212,散称,生鲜,1.244,15.1,4.98,否
14,20,2009,200904,2015-01-01,DW-2009040011,454g,一般商品,1.0,9.5,9.5,否
4,15,1521,152101,2015-01-01,DW-1521010005,散称,一般商品,0.862,5.84,6.78,否
4,23,2307,230703,2015-01-01,DW-2307030003,125ml,一般商品,4.0,8.8,2.2,否
35,20,2008,200807,2015-01-01,DW-2008070058,260g,一般商品,1.0,2.7,2.7,否
18,20,2007,200701,2015-01-01,DW-2007010021,散称,一般商品,0.282,17.7,89.8,是
33,21,2101,210107,2015-01-01,DW-2101070015,300g,一般商品,1.0,19.9,19.9,否
33,21,2101,210111,2015-01-01,DW-2101110007,400g,一般商品,1.0,32.0,32.0,否
15,13,1301,130101,2015-01-01,DW-1301010076,散称,联营商品,0.001,0.02,20.0,否
10,12,1201,120105,2015-01-01,DW-1201050011,散称,生鲜,0.573,3.76,6.56,否
52,20,2007,200706,2015-01-01,DW-2007060065,散称,一般商品,0.308,6.09,37.8,是
41,12,1201,120101,2015-01-01,DW-1201010005,散称,生鲜,0.58,3.36,5.8,否
47,15,1521,152101,2015-01-01,DW-1521010001,散称,一般商品,1.084,21.46,19.8,否
30,12,1203,120301,2015-01-01,DW-1203010221,散称,生鲜,0.608,9.72,15.98,否
31,20,2013,201306,2015-01-01,DW-2013060014,180g,一般商品,1.0,2.0,2.0,否
1,12,1201,120101,2015-01-01,DW-1201010023,散称,生鲜,0.91,2.33,2.56,否
47,12,1201,120101,2015-01-01,DW-1201010029,散称,生鲜,0.41600000000000004,1.06,2.56,否
59,20,2007,200709,2015-01-01,DW-2007090045,散称,一般商品,0.534,3.63,6.8,否
60,20,2008,200805,2015-01-01,DW-2008050066,40g,一般商品,1.0,3.9,3.9,否
15,15,1521,152101,2015-01-01,DW-1521010005,散称,一般商品,1.038,7.04,6.78,否
39,20,2014,201404,2015-01-01,DW-2014040202,120g,一般商品,1.0,2.7,2.7,否
38,12,1203,120301,2015-01-01,DW-1203010296,散称,生鲜,0.439,1.66,10.0,否
43,22,2208,220801,2015-01-01,DW-2208010003,56g,一般商品,1.0,10.4,10.4,否
60,22,2205,220513,2015-01-01,DW-2205130016,160g,一般商品,1.0,4.5,5.9,是
17,15,1518,151806,2015-01-01,DW-1518060018,230ml,一般商品,3.0,8.4,2.8,否
48,23,2304,230401,2015-01-01,DW-2304010004,500ml,一般商品,1.0,1.9,2.5,是
45,12,1201,120104,2015-01-01,DW-1201040043,散称,生鲜,0.214,1.93,9.0,否
51,23,2302,230299,2015-01-01,DW-2302990025,200ml,一般商品,1.0,4.0,4.0,否
34,12,1203,120303,2015-01-01,DW-1203030161,散称,生鲜,1.518,24.23,15.96,否
54,22,2204,220401,2015-01-01,DW-2204010041,kg,一般商品,0.44,8.7,35.8,是
49,12,1201,120102,2015-01-01,DW-1201020029,散称,生鲜,0.626,2.48,3.96,否
49,12,1203,120309,2015-01-01,DW-1203090216,散称,生鲜,0.456,7.25,15.9,否
22,11,1103,110302,2015-01-01,DW-1103020061,散称,生鲜,0.768,23.04,30.0,否
45,12,1201,120102,2015-01-01,DW-1201020040,散称,生鲜,0.872,1.71,1.96,否
35,15,1521,152101,2015-01-01,DW-1521010043,散称,一般商品,1.212,10.3,8.5,否
35,22,2201,220101,2015-01-01,DW-2201010017,100g,一般商品,1.0,4.9,4.9,否
35,22,2201,220101,2015-01-01,DW-2201010018,125g,一般商品,1.0,5.7,5.7,否
55,30,3018,301802,2015-01-01,DW-3018020125,4片,一般商品,1.0,7.5,8.7,是
9,22,2201,220111,2015-01-01,DW-2201110152,50g,一般商品,1.0,6.0,6.0,否
52,22,2201,220103,2015-01-01,DW-2201030082,散称,一般商品,0.14400000000000002,2.27,19.8,是
11,12,1201,120104,2015-01-01,DW-1201040010,散称,生鲜,0.851,2.2,2.58,否
34,12,1201,120104,2015-01-01,DW-1201040010,散称,生鲜,1.028,2.65,2.58,否
34,33,3321,332102,2015-01-01,DW-3321020067,8103,一般商品,1.0,4.7,4.7,否
48,12,1201,120102,2015-01-01,DW-1201020040,散称,生鲜,0.662,1.3,1.96,否
54,12,1201,120102,2015-01-01,DW-1201020361,散称,生鲜,0.706,39.54,56.0,否
19,30,3016,301603,2015-01-01,DW-3016030107,83g*12卷,一般商品,1.0,11.5,15.9,是
12,30,3016,301608,2015-01-01,DW-3016080114,200抽*3,一般商品,1.0,6.9,9.7,是
55,30,3006,300601,2015-01-01,DW-3006010021,1.8kg,一般商品,1.0,19.9,19.9,否
22,30,3016,301606,2015-01-01,DW-3016060004,10包,一般商品,1.0,4.5,5.9,是
30,23,2316,231601,2015-01-01,DW-2316010015,20支,一般商品,1.0,15.0,15.0,否
44,12,1201,120104,2015-01-01,DW-1201040027,散称,生鲜,0.456,4.54,9.96,否
31,12,1202,120204,2015-01-01,DW-1202048059,散称,生鲜,0.08,0.62,7.76,否
47,15,1505,150503,2015-01-01,DW-1505030026,260g,一般商品,3.0,17.7,8.9,是
44,10,1001,100101,2015-01-01,DW-1001010194,散称,生鲜,0.27,8.05,29.8,否
19,12,1203,120309,2015-01-01,DW-1203090210,散称,生鲜,1.262,22.21,17.6,否
20,12,1201,120102,2015-01-01,DW-1201020008,散称,生鲜,0.20600000000000002,1.19,5.8,否
53,20,2011,201104,2015-01-01,DW-2011040017,500ml,一般商品,1.0,9.9,12.9,是
20,12,1201,120101,2015-01-01,DW-1201010029,散称,生鲜,0.574,1.47,2.56,否
21,12,1203,120301,2015-01-01,DW-1203010290,散称,生鲜,0.998,2.0,2.0,否
57,30,3016,301603,2015-01-01,DW-3016030114,170g2卷,一般商品,1.0,6.9,6.9,否
29,30,3018,301802,2015-01-01,DW-3018020125,4片,一般商品,1.0,7.5,8.7,是
60,20,2008,200805,2015-01-01,DW-2008050016,10g,一般商品,1.0,2.0,2.0,否
61,13,1308,130801,2015-01-01,DW-1308010191,散称,生鲜,0.465,2.79,6.0,否
33,21,2105,210503,2015-01-01,DW-2105030025,560g,一般商品,1.0,23.3,23.3,否
62,12,1203,120302,2015-01-01,DW-1203020166,散称,生鲜,1.868,33.25,17.8,否
44,22,2201,220108,2015-01-01,DW-2201080052,50g,一般商品,1.0,1.5,1.5,否
32,30,3007,300701,2015-01-01,DW-3007010254,115g,一般商品,1.0,3.9,4.7,是
2,12,1203,120303,2015-01-01,DW-1203030177,散称,生鲜,1.8419999999999999,5.86,3.18,否
21,12,1201,120104,2015-01-01,DW-1201040010,散称,生鲜,0.496,1.28,2.58,否
60,12,1201,120103,2015-01-01,DW-1201030002,散称,生鲜,0.44299999999999995,1.23,2.78,否
51,30,3018,301802,2015-01-01,DW-3018020125,4片,一般商品,1.0,7.5,8.7,是
3,12,1203,120302,2015-01-01,DW-1203020172,散称,生鲜,0.504,6.04,11.98,否
58,12,1201,120101,2015-01-01,DW-1201010395,散称,生鲜,0.652,3.91,6.0,否
58,15,1508,150802,2015-01-01,DW-1508020001,400g,一般商品,1.0,6.7,6.7,否
58,15,1515,151503,2015-01-01,DW-1515030007,散称,一般商品,0.39799999999999996,10.26,32.6,是
36,20,2006,200607,2015-01-01,DW-2006070076,散称,一般商品,1.004,9.9,9.9,否
36,30,3018,301801,2015-01-01,DW-3018010298,8片,一般商品,1.0,6.5,7.7,是
15,20,2006,200602,2015-01-01,DW-2006020026,5kg,一般商品,1.0,39.9,39.9,否
6,15,1521,152104,2015-01-01,DW-1521040033,散称,一般商品,0.774,14.71,19.0,否
50,22,2208,220801,2015-01-01,DW-2208010086,23.8g,一般商品,1.0,9.9,9.9,否
2,12,1201,120102,2015-01-01,DW-1201020043,散称,生鲜,0.598,1.08,1.8,否
17,15,1501,150103,2015-01-01,DW-1501030002,250g,一般商品,1.0,4.9,5.7,是
14,12,1201,120102,2015-01-01,DW-1201020017,散称,生鲜,1.173,3.0,2.56,否
10,20,2014,201404,2015-01-01,DW-2014040135,80g,一般商品,5.0,7.0,1.7,是
26,21,2101,210107,2015-01-01,DW-2101070015,300g,一般商品,1.0,19.9,19.9,否
35,15,1521,152101,2015-01-01,DW-1521010005,散称,一般商品,2.44,16.54,6.78,否
35,20,2008,200809,2015-01-01,DW-2008090024,200g,一般商品,1.0,2.9,2.9,否
12,12,1201,120101,2015-01-01,DW-1201010019,散称,生鲜,2.862,5.61,1.96,否
24,12,1201,120101,2015-01-01,DW-1201010006,散称,生鲜,0.252,3.02,12.0,否
24,22,2202,220299,2015-01-01,DW-2202990142,56g,一般商品,1.0,6.9,6.9,否
44,20,2001,200101,2015-01-01,DW-2001010004,121g,一般商品,1.0,2.5,2.5,否
44,20,2001,200105,2015-01-01,DW-2001050010,25g,一般商品,1.0,0.5,0.5,否
31,22,2205,220513,2015-01-01,DW-2205130090,散称,一般商品,0.18600000000000003,3.16,17.0,否
43,30,3002,300206,2015-01-01,DW-3002060118,408g,一般商品,1.0,3.9,3.9,否
21,12,1201,120102,2015-01-01,DW-1201020018,散称,生鲜,0.312,1.74,5.56,否
56,12,1203,120307,2015-01-01,DW-1203070023,散称,生鲜,1.8780000000000001,18.74,9.98,否
56,20,2014,201404,2015-01-01,DW-2014040043,375g,一般商品,1.0,8.2,8.2,否
56,22,2202,220208,2015-01-01,DW-2202080022,散称,一般商品,0.37200000000000005,5.88,15.8,否
9,23,2303,230399,2015-01-01,DW-2303990061,445ml,一般商品,1.0,4.5,4.5,否
52,22,2202,220208,2015-01-01,DW-2202080028,散称,一般商品,0.14400000000000002,2.24,25.8,是
11,12,1203,120306,2015-01-01,DW-1203060094,散称,生鲜,0.348,3.47,9.96,否
16,23,2305,230502,2015-01-01,DW-2305020019,348ml,一般商品,2.0,4.0,2.0,否
35,20,2008,200809,2015-01-01,DW-2008090027,20g,一般商品,1.0,1.3,1.3,否
23,22,2202,220299,2015-01-01,DW-2202990104,162g,一般商品,1.0,5.3,5.3,否
57,21,2103,210301,2015-01-01,DW-2103010108,15g*7,一般商品,1.0,9.9,9.9,否
37,23,2309,230901,2015-01-01,DW-2309010115,9%580ml,一般商品,4.0,10.0,2.5,否
46,12,1203,120301,2015-01-01,DW-1203010288,散称,生鲜,1.32,13.17,14.99,否
10,22,2202,220201,2015-01-01,DW-2202010005,25g*6,一般商品,1.0,9.9,9.9,否
24,20,2011,201106,2015-01-01,DW-2011060003,380mL,一般商品,1.0,1.7,1.7,否
